mpg	cylinder	displace	hp	accel	year	weight	price	USA	Europe	Japan
0,79	0,333333333	0,137142857	0,35	0,313333333	0,5	0,214666667	7000	0	1	0
0,70	0,333333333	0,111428571	0,25	0,586666667	0,5	0,156	3850	0	0	1
0,55	0,333333333	0,137142857	0,3125	0,366666667	0,5	0,206666667	2900	1	0	0
0,68	0,333333333	0,102857143	0,28125	0,426666667	0,5	0,173	3525	0	0	1
0,45	0,333333333	0,288571429	0,4375	0,433333333	0,5	0,392666667	3625	1	0	0
0,41	0,333333333	0,257142857	0,425	0,54	0,5	0,456666667	3525	1	0	0
0,36	0,333333333	0,288571429	0,4375	0,673333333	0,5	0,501	3625	1	0	0
0,23	0,666666667	0,5	0,4375	0,58	0,5	0,627	3700	1	0	0
0,61	0,333333333	0,134285714	0,3625	0,386666667	0,5	0,229333333	5900	0	1	0
0,50	0,333333333	0,24	0,4375	0,366666667	0,5	0,403666667	5500	0	0	1
0,53	0,333333333	0,2	0,34375	0,5	0,5	0,347333333	4675	0	0	1
0,68	0,333333333	0,197142857	0,45	0,333333333	0,5	0,311333333	4050	0	0	1
0,56	0,333333333	0,165714286	0,34375	0,346666667	0,5	0,255	3975	0	0	1
0,92	0,333333333	0,102857143	0,28125	0,526666667	0,5	0,203333333	3350	0	0	1
0,45	0,333333333	0,302857143	0,53125	0,293333333	0,5	0,433333333	3200	1	0	0
0,77	0,333333333	0,1	0,28125	0,613333333	0,5	0,203333333	3300	0	0	1
0,86	0,333333333	0,114285714	0,175	0,78	0,5	0,195	3900	0	1	0
0,84	0,333333333	0,114285714	0,175	0,913333333	0,5	0,278333333	3825	0	1	0
0,66	0,5	0,202857143	0,29375	0,66	0,5	0,483333333	7975	0	1	0
0,87	0,333333333	0,117142857	0,29375	0,253333333	0,5	0,116666667	3925	0	0	1
0,77	0,333333333	0,1	-0,125	0,486666667	0,5	0,111666667	2575	0	1	0
0,60	0,333333333	0,134285714	0,29375	0,533333333	0,5	0,215	3625	0	0	1
0,50	0,333333333	0,111428571	0,2625	0,353333333	0,5	0,115	7000	0	1	0
0,57	0,666666667	0,337142857	0,7	0,093333333	0,5	0,47	8150	0	0	1
0,34	0,166666667	0,057142857	0,5	0,166666667	0,5	0,306666667	7250	0	0	1
0,63	0,333333333	0,205714286	0,425	0,34	0,5	0,333333333	5000	0	1	0
0,34	0,333333333	0,257142857	-0,125	0,286666667	0,5	0,468333333	4250	1	0	0
0,56	0,333333333	0,162857143	0,325	0,466666667	0,5	0,263333333	4700	0	0	1
0,43	0,333333333	0,242857143	0,4	0,38	0,75	0,33	5100	1	0	0
0,42	0,333333333	0,288571429	0,4	0,426666667	0,75	0,378333333	5175	1	0	0
0,40	0,333333333	0,302857143	0,45	0,293333333	0,75	0,373333333	4950	1	0	0
0,34	0,666666667	0,351428571	0,5625	0,173333333	0,75	0,408333333	4550	1	0	0
0,50	0,333333333	0,242857143	0,4	0,193333333	0,75	0,295	4900	1	0	0
0,73	0,333333333	0,082857143	0,2375	0,46	0,75	0,085	4400	0	0	1
0,73	0,333333333	0,102857143	0,275	0,426666667	0,75	0,125	3600	1	0	0
0,63	0,333333333	0,088571429	0,25	0,406666667	0,75	0,086666667	4000	0	0	1
0,56	0,333333333	0,134285714	0,29375	0,52	0,75	0,188333333	3950	0	0	1
0,68	0,333333333	0,1	0,28125	0,626666667	0,75	0,158333333	3775	0	0	1
0,69	0,333333333	0,111428571	0,2625	0,486666667	0,75	0,183333333	4475	0	0	1
0,60	0,333333333	0,117142857	0,3	0,4	0,75	0,161666667	3975	0	0	1
0,62	0,333333333	0,157142857	0,26875	0,326666667	0,75	0,238333333	3450	1	0	0
0,61	0,333333333	0,137142857	0,28125	0,413333333	0,75	0,181666667	3850	1	0	0
0,50	0,333333333	0,137142857	0,28125	0,713333333	0,75	0,293333333	4100	1	0	0
0,58	0,333333333	0,157142857	0,3375	0,28	0,75	0,23	5650	0	1	0
0,61	0,333333333	0,142857143	-0,125	0,386666667	0,75	0,273333333	4600	0	1	0
0,59	0,333333333	0,162857143	0,34375	0,293333333	0,75	0,236666667	5550	0	0	1
0,56	0,333333333	0,165714286	0,34375	0,453333333	0,75	0,283333333	4650	0	0	1
0,57	0,333333333	0,197142857	0,5	0,32	0,75	0,371666667	5825	0	0	1
0,54	0,333333333	0,2	0,3375	0,553333333	0,75	0,378333333	5650	0	0	1
0,45	0,333333333	0,26	0,375	0,693333333	0,75	0,576666667	8500	0	1	0
0,52	0,666666667	0,271428571	0,35	0,64	0,75	0,553333333	8550	0	1	0
0,39	0,666666667	0,337142857	0,6	0,173333333	0,75	0,466666667	9475	0	0	1
0,36	0,666666667	0,274285714	0,625	0,253333333	0,75	0,476666667	8375	0	0	1
0,31	0,666666667	0,517142857	0,5625	0,386666667	0,75	0,638333333	6675	1	0	0
0,42	1	0,857142857	0,53125	0,6	0,75	0,741666667	6875	1	0	0
0,26	0,666666667	0,428571429	0,425	0,473333333	0,75	0,52	5450	1	0	0
0,19	0,666666667	0,5	0,40625	0,44	0,75	0,655	5625	1	0	0
0,45	0,333333333	0,177142857	0,425	0,64	1	0,368333333	5275	1	0	0
0,43	0,333333333	0,177142857	0,425	0,573333333	1	0,38	5500	1	0	0
0,60	0,333333333	0,177142857	0,425	0,533333333	1	0,298333333	5175	1	0	0
0,53	0,333333333	0,177142857	0,40625	0,413333333	1	0,358333333	5650	1	0	0
0,48	0,333333333	0,242857143	0,4	0,4	1	0,341666667	6250	1	0	0
0,43	0,333333333	0,288571429	0,4375	0,533333333	1	0,411666667	5650	1	0	0
0,35	0,333333333	0,257142857	0,45	0,426666667	1	0,455	5225	1	0	0
0,33	0,333333333	0,288571429	-0,125	0,7	1	0,511666667	5150	1	0	0
0,65	0,333333333	0,157142857	0,3375	0,353333333	1	0,16	5200	0	1	0
0,68	0,333333333	0,117142857	0,3	0,546666667	1	0,175	4900	0	0	1
0,53	0,333333333	0,117142857	0,3	0,506666667	1	0,156666667	5100	0	0	1
0,70	0,333333333	0,157142857	0,26875	0,313333333	1	0,208333333	4350	1	0	0
0,65	0,333333333	0,137142857	0,3125	0,486666667	1	0,208333333	4550	1	0	0
0,65	0,333333333	0,2	0,425	0,3	1	0,22	6350	0	0	1
0,65	0,333333333	0,162857143	0,34375	0,3	1	0,235	6500	0	0	1
0,60	0,333333333	0,165714286	0,3125	0,46	1	0,248333333	5425	0	0	1
0,70	0,333333333	0,117142857	0,29375	0,333333333	1	0,155	4625	0	0	1
0,55	0,333333333	0,117142857	0,29375	0,38	1	0,155	4875	0	0	1
0,70	0,333333333	0,117142857	0,29375	0,413333333	1	0,165	5075	0	0	1
0,38	0,666666667	0,374285714	0,5625	0,426666667	1	0,481666667	7300	1	0	0
0,70	0,666666667	0,605714286	0,40625	0,466666667	1	0,505	7450	1	0	0
0,40	0,333333333	0,302857143	0,45	0,3	1	0,361666667	6000	1	0	0
0,30	0,666666667	0,52	0,575	0,313333333	1	0,445	6100	1	0	0
0,55	0,333333333	0,268571429	0,475	0,26	1	0,388333333	7700	0	0	1
0,65	0,333333333	0,242857143	0,4	0,2	1	0,29	5475	1	0	0
0,43	0,333333333	0,288571429	0,4375	0,486666667	1	0,483333333	8400	1	0	0
0,43	0,333333333	0,257142857	0,4125	0,373333333	1	0,43	5975	1	0	0
0,85	0,333333333	0,134285714	0,2	0,973333333	1	0,21	5075	0	1	0
0,55	0,333333333	0,242857143	0,4	0,106666667	1	0,265	5650	1	0	0
0,45	0,333333333	0,2	0,36875	0,573333333	1	0,375	4925	1	0	0
0,53	0,333333333	0,197142857	0,3875	0,626666667	1	0,406666667	6050	1	0	0
