mpg	cylinder	displace	hp	accel	year	weight	price	USA	Europe	Japan
18,20	8,00	318,00	135,00	15,20	79,00	3830,00	4025,00	1,00	0,00	0,00
16,90	8,00	350,00	155,00	14,90	79,00	4360,00	5225,00	1,00	0,00	0,00
15,50	8,00	351,00	142,00	14,30	79,00	4054,00	4825,00	1,00	0,00	0,00
19,20	8,00	267,00	125,00	15,00	79,00	3605,00	4100,00	1,00	0,00	0,00
18,50	8,00	360,00	150,00	13,00	79,00	3940,00	4725,00	1,00	0,00	0,00
31,90	4,00	89,00	71,00	14,00	79,00	1925,00	3100,00	0,00	1,00	0,00
34,10	4,00	86,00	65,00	15,20	79,00	1975,00	2750,00	0,00	0,00	1,00
35,70	4,00	98,00	80,00	14,40	79,00	1915,00	2700,00	1,00	0,00	0,00
27,40	4,00	121,00	80,00	15,00	79,00	2670,00	2725,00	1,00	0,00	0,00
23,00	8,00	350,00	125,00	17,40	79,00	3900,00	9900,00	1,00	0,00	0,00
27,20	4,00	141,00	71,00	24,80	79,00	3190,00	4675,00	0,00	1,00	0,00
23,90	8,00	260,00	90,00	22,20	79,00	3420,00	4050,00	1,00	0,00	0,00
34,20	4,00	105,00	70,00	13,20	79,00	2200,00	2625,00	1,00	0,00	0,00
34,50	4,00	105,00	70,00	14,90	79,00	2150,00	2775,00	1,00	0,00	0,00
31,80	4,00	85,00	65,00	19,20	79,00	2020,00	2750,00	0,00	0,00	1,00
37,30	4,00	91,00	69,00	14,70	79,00	2130,00	2275,00	0,00	1,00	0,00
28,40	4,00	151,00	90,00	16,00	79,00	2670,00	3525,00	1,00	0,00	0,00
28,80	6,00	173,00	115,00	11,30	79,00	2595,00	3625,00	1,00	0,00	0,00
26,80	6,00	173,00	115,00	12,90	79,00	2700,00	3525,00	1,00	0,00	0,00
33,50	4,00	151,00	90,00	13,20	79,00	2556,00	3325,00	1,00	0,00	0,00
41,50	4,00	98,00	76,00	14,70	80,00	2144,00	7000,00	0,00	1,00	0,00
38,10	4,00	89,00	60,00	18,80	80,00	1968,00	3850,00	0,00	0,00	1,00
32,10	4,00	98,00	70,00	15,50	80,00	2120,00	2900,00	1,00	0,00	0,00
37,20	4,00	86,00	65,00	16,40	80,00	2019,00	3525,00	0,00	0,00	1,00
28,00	4,00	151,00	90,00	16,50	80,00	2678,00	3625,00	1,00	0,00	0,00
26,40	4,00	140,00	88,00	18,10	80,00	2870,00	3525,00	1,00	0,00	0,00
24,30	4,00	151,00	90,00	20,10	80,00	3003,00	3625,00	1,00	0,00	0,00
19,10	6,00	225,00	90,00	18,70	80,00	3381,00	3700,00	1,00	0,00	0,00
34,30	4,00	97,00	78,00	15,80	80,00	2188,00	5900,00	0,00	1,00	0,00
29,80	4,00	134,00	90,00	15,50	80,00	2711,00	5500,00	0,00	0,00	1,00
31,30	4,00	120,00	75,00	17,50	80,00	2542,00	4675,00	0,00	0,00	1,00
37,00	4,00	119,00	92,00	15,00	80,00	2434,00	4050,00	0,00	0,00	1,00
32,20	4,00	108,00	75,00	15,20	80,00	2265,00	3975,00	0,00	0,00	1,00
46,60	4,00	86,00	65,00	17,90	80,00	2110,00	3350,00	0,00	0,00	1,00
27,90	4,00	156,00	105,00	14,40	80,00	2800,00	3200,00	1,00	0,00	0,00
40,80	4,00	85,00	65,00	19,20	80,00	2110,00	3300,00	0,00	0,00	1,00
44,30	4,00	90,00	48,00	21,70	80,00	2085,00	3900,00	0,00	1,00	0,00
43,40	4,00	90,00	48,00	23,70	80,00	2335,00	3825,00	0,00	1,00	0,00
36,40	5,00	121,00	67,00	19,90	80,00	2950,00	7975,00	0,00	1,00	0,00
44,60	4,00	91,00	67,00	13,80	80,00	1850,00	3925,00	0,00	0,00	1,00
40,90	4,00	85,00		17,30	80,00	1835,00	2575,00	0,00	1,00	0,00
33,80	4,00	97,00	67,00	18,00	80,00	2145,00	3625,00	0,00	0,00	1,00
29,80	4,00	89,00	62,00	15,30	80,00	1845,00	7000,00	0,00	1,00	0,00
32,70	6,00	168,00	132,00	11,40	80,00	2910,00	8150,00	0,00	0,00	1,00
23,70	3,00	70,00	100,00	12,50	80,00	2420,00	7250,00	0,00	0,00	1,00
35,00	4,00	122,00	88,00	15,10	80,00	2500,00	5000,00	0,00	1,00	0,00
23,60	4,00	140,00		14,30	80,00	2905,00	4250,00	1,00	0,00	0,00
32,40	4,00	107,00	72,00	17,00	80,00	2290,00	4700,00	0,00	0,00	1,00
27,20	4,00	135,00	84,00	15,70	81,00	2490,00	5100,00	1,00	0,00	0,00
26,60	4,00	151,00	84,00	16,40	81,00	2635,00	5175,00	1,00	0,00	0,00
25,80	4,00	156,00	92,00	14,40	81,00	2620,00	4950,00	1,00	0,00	0,00
23,50	6,00	173,00	110,00	12,60	81,00	2725,00	4550,00	1,00	0,00	0,00
30,00	4,00	135,00	84,00	12,90	81,00	2385,00	4900,00	1,00	0,00	0,00
39,10	4,00	79,00	58,00	16,90	81,00	1755,00	4400,00	0,00	0,00	1,00
39,00	4,00	86,00	64,00	16,40	81,00	1875,00	3600,00	1,00	0,00	0,00
35,10	4,00	81,00	60,00	16,10	81,00	1760,00	4000,00	0,00	0,00	1,00
32,30	4,00	97,00	67,00	17,80	81,00	2065,00	3950,00	0,00	0,00	1,00
37,00	4,00	85,00	65,00	19,40	81,00	1975,00	3775,00	0,00	0,00	1,00
37,70	4,00	89,00	62,00	17,30	81,00	2050,00	4475,00	0,00	0,00	1,00
34,10	4,00	91,00	68,00	16,00	81,00	1985,00	3975,00	0,00	0,00	1,00
34,70	4,00	105,00	63,00	14,90	81,00	2215,00	3450,00	1,00	0,00	0,00
34,40	4,00	98,00	65,00	16,20	81,00	2045,00	3850,00	1,00	0,00	0,00
29,90	4,00	98,00	65,00	20,70	81,00	2380,00	4100,00	1,00	0,00	0,00
33,00	4,00	105,00	74,00	14,20	81,00	2190,00	5650,00	0,00	1,00	0,00
34,50	4,00	100,00		15,80	81,00	2320,00	4600,00	0,00	1,00	0,00
33,70	4,00	107,00	75,00	14,40	81,00	2210,00	5550,00	0,00	0,00	1,00
32,40	4,00	108,00	75,00	16,80	81,00	2350,00	4650,00	0,00	0,00	1,00
32,90	4,00	119,00	100,00	14,80	81,00	2615,00	5825,00	0,00	0,00	1,00
31,60	4,00	120,00	74,00	18,30	81,00	2635,00	5650,00	0,00	0,00	1,00
28,10	4,00	141,00	80,00	20,40	81,00	3230,00	8500,00	0,00	1,00	0,00
30,70	6,00	145,00	76,00	19,60	81,00	3160,00	8550,00	0,00	1,00	0,00
25,40	6,00	168,00	116,00	12,60	81,00	2900,00	9475,00	0,00	0,00	1,00
24,20	6,00	146,00	120,00	13,80	81,00	2930,00	8375,00	0,00	0,00	1,00
22,40	6,00	231,00	110,00	15,80	81,00	3415,00	6675,00	1,00	0,00	0,00
26,60	8,00	350,00	105,00	19,00	81,00	3725,00	6875,00	1,00	0,00	0,00
20,20	6,00	200,00	88,00	17,10	81,00	3060,00	5450,00	1,00	0,00	0,00
17,60	6,00	225,00	85,00	16,60	81,00	3465,00	5625,00	1,00	0,00	0,00
28,00	4,00	112,00	88,00	19,60	82,00	2605,00	5275,00	1,00	0,00	0,00
27,00	4,00	112,00	88,00	18,60	82,00	2640,00	5500,00	1,00	0,00	0,00
34,00	4,00	112,00	88,00	18,00	82,00	2395,00	5175,00	1,00	0,00	0,00
31,00	4,00	112,00	85,00	16,20	82,00	2575,00	5650,00	1,00	0,00	0,00
29,00	4,00	135,00	84,00	16,00	82,00	2525,00	6250,00	1,00	0,00	0,00
27,00	4,00	151,00	90,00	18,00	82,00	2735,00	5650,00	1,00	0,00	0,00
24,00	4,00	140,00	92,00	16,40	82,00	2865,00	5225,00	1,00	0,00	0,00
23,00	4,00	151,00		20,50	82,00	3035,00	5150,00	1,00	0,00	0,00
36,00	4,00	105,00	74,00	15,30	82,00	1980,00	5200,00	0,00	1,00	0,00
37,00	4,00	91,00	68,00	18,20	82,00	2025,00	4900,00	0,00	0,00	1,00
31,00	4,00	91,00	68,00	17,60	82,00	1970,00	5100,00	0,00	0,00	1,00
38,00	4,00	105,00	63,00	14,70	82,00	2125,00	4350,00	1,00	0,00	0,00
36,00	4,00	98,00	70,00	17,30	82,00	2125,00	4550,00	1,00	0,00	0,00
36,00	4,00	120,00	88,00	14,50	82,00	2160,00	6350,00	0,00	0,00	1,00
36,00	4,00	107,00	75,00	14,50	82,00	2205,00	6500,00	0,00	0,00	1,00
34,00	4,00	108,00	70,00	16,90	82,00	2245,00	5425,00	0,00	0,00	1,00
38,00	4,00	91,00	67,00	15,00	82,00	1965,00	4625,00	0,00	0,00	1,00
32,00	4,00	91,00	67,00	15,70	82,00	1965,00	4875,00	0,00	0,00	1,00
38,00	4,00	91,00	67,00	16,20	82,00	1995,00	5075,00	0,00	0,00	1,00
25,00	6,00	181,00	110,00	16,40	82,00	2945,00	7300,00	1,00	0,00	0,00
38,00	6,00	262,00	85,00	17,00	82,00	3015,00	7450,00	1,00	0,00	0,00
26,00	4,00	156,00	92,00	14,50	82,00	2585,00	6000,00	1,00	0,00	0,00
22,00	6,00	232,00	112,00	14,70	82,00	2835,00	6100,00	1,00	0,00	0,00
32,00	4,00	144,00	96,00	13,90	82,00	2665,00	7700,00	0,00	0,00	1,00
36,00	4,00	135,00	84,00	13,00	82,00	2370,00	5475,00	1,00	0,00	0,00
27,00	4,00	151,00	90,00	17,30	82,00	2950,00	8400,00	1,00	0,00	0,00
27,00	4,00	140,00	86,00	15,60	82,00	2790,00	5975,00	1,00	0,00	0,00
44,00	4,00	97,00	52,00	24,60	82,00	2130,00	5075,00	0,00	1,00	0,00
32,00	4,00	135,00	84,00	11,60	82,00	2295,00	5650,00	1,00	0,00	0,00
28,00	4,00	120,00	79,00	18,60	82,00	2625,00	4925,00	1,00	0,00	0,00
31,00	4,00	119,00	82,00	19,40	82,00	2720,00	6050,00	1,00	0,00	0,00
